country,hospital_ID,no_of_staff,no_of_patients,male_patients,female_patients,no_of_beds,hospital_category,No_of_deaths_in_2022,No_of_deaths_in_2023
australia,e9bebd37bfee7bb,776,-7597,190,7407,1370,rehabilitation,26,41
australia,6f8e7fe3ccfcb7c,3133,,267,-7373,4673,general,119,134
australia,4d17fa0d985e0d7,2916,5942,222,5720,3722,speciality,142,157
australia,6be8a1ef720fd32,3330,8323,223,,5723,,145,160
australia,4ded9e3ff968e7c,1681,3313,54,3259,2107,outpatient,24,39
australia,bbb5ab4b0aad7a3,,8073,135,7938,6800,rehabilitation,55,70
australia,a5ffb6afd24d2eb,5135,7298,153,7145,-5273,children,105,120
australia,ad103986bdbe6ad,4157,6472,152,6320,5675,children,158,173
austria,9f63c73be6a39e9,296.75,3837,95,3742,2720,children,122,137
austria,ccd85e8579f9c7e,296.75,6998,41,6957,5897,rehabilitation,126,141
austria,5022c998edeada1,296.75,8940,294,8646,2868,children,129,144
austria,eb1f0a485ff5c50,296.75,2587,204,2383,1579,,132,147
austria,0de4671f41341d6,989,4204,217,3987,3125,teaching,135,150
austria,90bbf5c6d616dbf,807,3787,221,3566,3042,,138,153
bahamas,ea8a779bec3c8ff,39,142,170,28,39,children,161,176
bahamas,ba404ddd2ad309a,348,5158,192,4966,637,children,52,67
bahamas,2eaa3c5d6cc37b9,130,7306,245,7061,847,standalone_emergency,76,91
