country,hospital_ID,no_of_staff,no_of_patients,male_patients,female_patients,no_of_beds,hospital_category,No_of_deaths_in_2022,No_of_deaths_in_2023
afghanistan,4eb9d3e5cf79b91,10,730,177,553,336,research,20,50
albania,3d41753aadac2fb,290,956,88,868,444,children,4,23
afghanistan,bba52b87bb6a32f,679,6819,87,6732,3419,children,2,5
afghanistan,8a9190a50adf241,111,3695,255,3440,1445,children,12,5
albania,91ba1665eeb4d22,117,1999,139,1860,1068,children,5,25
algeria,aac4f9abf86eaef,4315,7994,117,7877,6167,general,23,21
algeria,27fbc78271f3aa2,36,4288,249,4039,1096,research,15,11
algeria,df66e70fae1aa5d,4614,7518,278,7240,5794,teaching,17,10
algeria,a3b8d27d51aae2f,702,2135,293,1842,1972,children,8,9
algeria,bec776b6c8ce1ac,448,1552,109,1443,561,children,13,3
algeria,38df1aedef8e004,59,5416,153,5263,95,speciality,2,6
anguilla,7ade1d82d2ac863,726,7205,245,6960,2487,day_surgery,62,77
anguilla,bf1cc30febed38c,80,481,154,327,290,research,65,80
algeria,acc61a49398bdd4,74,1416,190,1226,909,teaching,4,3
algeria,2fab6dad4afe024,878,8562,137,8425,8029,psychiatric,10,6
algeria,a1c2b67b5a01adf,25,159,35,124,46,day_surgery,16,9
algeria,2ecb7041dc2adf1,184,3321,164,3157,193,day_surgery,24,13
algeria,dffc100fccdc16d,3785,7720,277,7443,7336,general,30,16
algeria,bfa9a7d5cd3ea2c,1477,7249,113,7136,2888,standalone_emergency,36,19
algeria,fcdbf9ac5f68eaa,1956,3512,81,3431,3507,research,42,22
algeria,6f442e8596b4b4e,82,8506,274,8232,407,rehabilitation,48,25
algeria,5a3d438bd544b85,1032,6676,17,6659,4731,speciality,56,29
algeria,bde405d2e490ebe,5,92,268,176,23,standalone_emergency,62,32
algeria,3c08339af3bb8c8,1711,8575,268,8307,2620,children,68,35
algeria,6ea03577dc2f3c3,295,6644,30,6614,479,children,74,38
angola,c494abe0cdb9c70,702,2252,185,2067,841,children,80,41
angola,c7afe1e7295d09a,205,311,158,153,217,children,88,45
algeria,b715731fa4a6cdb,3139,6429,294,6135,3912,rehabilitation,12,12
angola,ec0e323acd42b6e,1749,3250,266,2984,2357,children,36,51
angola,e4c640af4aa845a,2782,4531,106,4425,3106,outpatient,39,54
anguilla,bf0ebca305efbe4,1063,4704,29,4675,2080,children,42,57
anguilla,ecb7aae9a6cb36d,14,485,159,326,374,children,46,61
anguilla,3deebf49bd2fce7,2092,8125,166,7959,3847,outpatient,49,64
argentina,9eeb46cbf04eeff,387,1371,53,1318,634,children,87,102
argentina,3ed7b5f7c7f2bfe,2677,8887,297,8590,3382,children,90,105
argentina,6aa8ef34dceed25,366,7672,32,7640,2149,rehabilitation,94,109
anguilla,9f8efb3d03193db,6030,9056,129,8927,7880,teaching,52,67
anguilla,27eab75ce19c101,468,2878,41,2837,1550,psychiatric,55,70
anguilla,0a3ca1e9c01baae,113,1021,274,747,397,children,58,73
anguilla,ee4aa1dc0265e0e,7,648,88,560,19,psychiatric,68,83
anguilla,ffdb822c7597c10,782,3925,186,3739,1611,day_surgery,71,86
anguilla,f801bac42f9ac1f,191,4998,91,4907,2684,rehabilitation,74,89
anguilla,244f2bdbb45dcbc,12,6177,239,5938,435,teaching,78,93
anguilla,50d48830dc9a8ac,1124,7286,212,7074,4570,day_surgery,81,96
anguilla,beef0bf7cabe089,32,778,143,635,772,day_surgery,84,99
argentina,d0b5d62f4ba941f,1347,5422,155,5267,5253,speciality,97,112
argentina,ecedfb72daeebbc,381,8861,46,8815,681,children,100,115
argentina,d2ef4c24da2d2a7,785,7668,6,7662,6384,research,103,118
argentina,af3b0dc3a779eb5,3248,7898,105,7793,4429,psychiatric,106,121
argentina,ee2d54f3ad9c126,96,313,84,229,164,teaching,20,35
argentina,f40fc5a648c53f3,1330,6515,288,6227,5142,children,23,38
australia,e9bebd37bfee7bb,776,7597,190,7407,1370,rehabilitation,26,41
austria,ccd85e8579f9c7e,5426,6998,41,6957,5897,rehabilitation,126,141
austria,5022c998edeada1,2615,8940,294,8646,2868,children,129,144
australia,6f8e7fe3ccfcb7c,3133,7640,267,7373,4673,general,119,134
australia,4d17fa0d985e0d7,2916,5942,222,5720,3722,speciality,142,157
australia,6be8a1ef720fd32,3330,8323,223,8100,5723,psychiatric,145,160
australia,4ded9e3ff968e7c,1681,3313,54,3259,2107,outpatient,24,39
australia,bbb5ab4b0aad7a3,4077,8073,135,7938,6800,rehabilitation,55,70
australia,a5ffb6afd24d2eb,5135,7298,153,7145,5273,children,105,120
australia,ad103986bdbe6ad,4157,6472,152,6320,5675,children,158,173
austria,9f63c73be6a39e9,1187,3837,95,3742,2720,children,122,137
austria,eb1f0a485ff5c50,262,2587,204,2383,1579,speciality,132,147
austria,0de4671f41341d6,989,4204,217,3987,3125,teaching,135,150
austria,90bbf5c6d616dbf,807,3787,221,3566,3042,children,138,153
bahamas,ea8a779bec3c8ff,39,142,170,28,39,children,161,176
bahamas,ba404ddd2ad309a,348,5158,192,4966,637,children,52,67
bahamas,2eaa3c5d6cc37b9,130,7306,245,7061,847,standalone_emergency,76,91
bahamas,4dbcfb13cf62f8f,4674,6594,296,6298,5317,day_surgery,68,83
bahamas,fde4affceee8f58,1517,6921,225,6696,1536,children,72,87
bahamas,2606f29ee3f97f5,35,4089,273,3816,876,research,40,55
bahrain,a3bb544c4f950e5,198,1693,67,1626,980,children,14,29
bahrain,f56155a0a9ce693,8,7082,145,6937,6000,rehabilitation,74,89
bahrain,073cf1efaada57a,1418,3702,21,3681,2092,children,36,51
belgium,db0ecf7ddcc3a7a,967,3866,221,3645,3242,rehabilitation,768,783
belgium,c18b4aad9adf4cf,422,1027,94,933,664,research,200,215
belgium,ff4cdcd04bc0da8,2720,3886,202,3684,3867,rehabilitation,772,787
